place_id,name,halal_status,url,outlet_label,outlet_address,scraped_at
1551,Ayasofya Turkish Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/1551,Arab Street/ Kampong Glam,"51 Bussorah Street, Singapore 199467",2025-09-13T21:01:26.273867
2336,A.A.Iahshanullah,Halal - Muslim Owned,https://www.halaltag.com/place/2336,Tampines North,"610B Tampines North Drive 1, Singapore 522610",2025-09-13T21:01:26.943635
1739,Asian Spyces,Halal - Muslim Owned,https://www.halaltag.com/place/1739,Millage @ Changi,"55 Changi Road, #02-07 ,  Singapore 419709",2025-09-13T21:01:27.614802
2526,Al-Sana,Halal - Muslim Owned,https://www.halaltag.com/place/2526,The Woodgrove,"30 Woodlands Avenue 1, Singapore 739065",2025-09-13T21:01:28.277300
2222,Artease Cafe,Halal Certified,https://www.halaltag.com/place/2222,One Punggol,"1 Punggol Drive, #02-45,  Singapore 828629",2025-09-13T21:01:28.922349
2222,Artease Cafe,Halal Certified,https://www.halaltag.com/place/2222,Republic Polytechnic (RP),"9 Woodlands Ave 9, #01 (Cultural Centre),  Singapore 738984",2025-09-13T21:01:28.922349
2222,Artease Cafe,Halal Certified,https://www.halaltag.com/place/2222,Woodlands Civic Centre,"900 South Woodlands Drive, #01-03,  Singapore 730900",2025-09-13T21:01:28.922349
2064,Al Rsak Restaurant,Halal Certified,https://www.halaltag.com/place/2064,Bukit Batok (Others),"376 Bukit Batok Street 31, #01-126,  Singapore 650376",2025-09-13T21:01:29.608465
1626,Abbas Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/1626,Changi Village,"Blk 4 Changi Village, Singapore 500004",2025-09-13T21:01:30.271956
1626,Abbas Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/1626,City Plaza,"810 Geylang Rd , #01-k1,  Singapore 409286",2025-09-13T21:01:30.271956
1236,Atrium Restaurant,Halal Certified,https://www.halaltag.com/place/1236,Holiday Inn Atrium,"317 Outram Road, #04-00,  Singapore 169075",2025-09-13T21:01:30.962249
1232,Ali's Corner,Halal - Muslim Owned,https://www.halaltag.com/place/1232,Geylang Serai Market and Food Centre,"1 Geylang Serai, Singapore 402001",2025-09-13T21:01:31.667608
1455,Adam Chicken,Halal Certified,https://www.halaltag.com/place/1455,Ayer Rajah Food Centre,"503 West Coast Drive, #01-28,  Singapore 120503",2025-09-13T21:01:32.418029
2209,Aliff Nasi Lemak,Halal - Muslim Owned,https://www.halaltag.com/place/2209,Kaki Bukit 511 Market and Food Centre,"Blk 511 Bedok North St 3, #01-19,  Singapore 460511",2025-09-13T21:01:33.073155
1317,Afandi Hawa & Family,Halal - Muslim Owned,https://www.halaltag.com/place/1317,Haig Road Food Centre,"14 Haig Rd, #01-21,  Singapore 430014",2025-09-13T21:01:33.765388
939,ALaleem Eating Corner,Halal - Muslim Owned,https://www.halaltag.com/place/939,,,2025-09-13T21:01:34.431957
1008,Al Falah Barakah,Halal - Muslim Owned,https://www.halaltag.com/place/1008,Geylang Serai,"48A Changi Rd, Singapore 419705",2025-09-13T21:01:35.103929
969,Al-Hussain Restaurant,Halal - Muslim Owned,https://www.halaltag.com/place/969,Hougang (Others),"Blk 212 Hougang St 21, Singapore 530212",2025-09-13T21:01:35.774366
