name,outlet_name,address,postal_code,latitude,longitude,muis_halal_status,cuisine,website,phone,certificate_number,type,scheme,sub_scheme,data_sources,muis_place_id,halaltag_place_id
ARTEASE CAFE,,1 PUNGGOL DRIVE #02-45 ONE PUNGGOL 828629,828629.0,,,MUIS Halal Certified,,,,EERT20230001273,0.0,100.0,106.0,"muis,halaltag",d3fac8ea-3845-4de7-bb71-c4a6aebaf302,2222.0
ARTEASE CAFE,,900 SOUTH WOODLANDS DRIVE #01-03 WOODLANDS CIVIC CENTRE 730900,730900.0,,,MUIS Halal Certified,,,,EERT20230001274,0.0,100.0,106.0,"muis,halaltag",d3fac8ea-3845-4de7-bb71-c4a6aebaf302,2222.0
Atrium Kitchen @ Holiday Inn Singapore Atrium,,317 OUTRAM ROAD #04-00 HOLIDAY INN SINGAPORE ATRIUM 169075,169075.0,,,MUIS Halal Certified,,,,FPCN21120001634,0.0,200.0,201.0,"muis,halaltag",5d05fdd7-d64f-464c-a0a9-e9d511d0efb5,1236.0
Adam Chicken,,503 WEST COAST DRIVE #01-28 Ayer Rajah Food Centre 120503,120503.0,,,MUIS Halal Certified,,,,EEHN22020013198,0.0,100.0,103.0,"muis,halaltag",a38ed3f3-c19b-4c8c-9a5f-858750d8c7af,1455.0
Al Zamira Restaurant,,724 ANG MO KIO AVENUE 6 #01-04 560724,560724.0,,,MUIS Halal Certified,,,,EEHN21050012316,0.0,100.0,103.0,"muis,halaltag",0b0eb390-cdb8-4f3b-8bc5-d45cc75e3072,2394.0
A&W,,53 ANG MO KIO AVENUE 3 #B1-47/48/ 51/51A AMK HUB 569933,569933.0,,,MUIS Halal Certified,,,,EERN21110013211,0.0,100.0,106.0,"muis,halaltag",6582f2a0-3687-45a5-8822-fe3666534ec0,1080.0
A&W,,20 MANDAI LAKE ROAD #02-01 729825,729825.0,,,MUIS Halal Certified,,,,EERT20230000639,0.0,100.0,106.0,"muis,halaltag",6582f2a0-3687-45a5-8822-fe3666534ec0,1080.0
A&W,,133 CANBERRA VIEW #01-04/26/27 CANBERRA PLAZA 750133,750133.0,,,MUIS Halal Certified,,,,EERN21110013212,0.0,100.0,106.0,"muis,halaltag",6582f2a0-3687-45a5-8822-fe3666534ec0,1080.0
A&W,,78 AIRPORT BOULEVARD #B2-209 819666,819666.0,,,MUIS Halal Certified,,,,EERN21110013210,0.0,100.0,106.0,"muis,halaltag",6582f2a0-3687-45a5-8822-fe3666534ec0,1080.0
A&W,,11 BIDADARI PARK DRIVE #01-40 THE WOODLEIGH MALL 367803,367803.0,,,MUIS Halal Certified,,,,EERT20230000777,0.0,100.0,106.0,"muis,halaltag",6582f2a0-3687-45a5-8822-fe3666534ec0,1080.0
APSN Cafe for All - Centre for Adults.,,11 JALAN UBI #01-51 KEMBANGAN-CHAI CHEE COMMUNITY HUB 409074,409074.0,,,MUIS Halal Certified,,,,EERT20250000193,0.0,100.0,106.0,"muis,halaltag",243bb4b3-54fc-4a4a-ba5f-df8076f67f03,1633.0
Ace Western (MR2)@Foodgle Hub ITE College West,,"1 CHOA CHU KANG GROVE #03-05 ITE COLLEGE WEST, MR2 (PART OF) 688236",688236.0,,,MUIS Halal Certified,,,,EEHK20230000029,0.0,100.0,103.0,"muis,halaltag",2287ca65-3b80-4a9a-82d8-8b2cd3cfe9c3,2464.0
ARNOLD'S,,215 BEDOK NORTH STREET 1 #01-83 460215,460215.0,,,MUIS Halal Certified,,,,EERN21060012495,0.0,100.0,106.0,"muis,halaltag",571266fe-a5d4-499d-9f7c-fd6edf1a9f34,35.0
ARNOLD'S,,810 GEYLANG ROAD #02-99/10 CITY PLAZA 409286,409286.0,,,MUIS Halal Certified,,,,EERN21060012493,0.0,100.0,106.0,"muis,halaltag",571266fe-a5d4-499d-9f7c-fd6edf1a9f34,35.0
ARNOLD'S,,21 HOUGANG STREET 51 #01-49 HOUGANG GREEN SHOPPING MALL 538719,538719.0,,,MUIS Halal Certified,,,,EERN21060012494,0.0,100.0,106.0,"muis,halaltag",571266fe-a5d4-499d-9f7c-fd6edf1a9f34,35.0
ARNOLD'S,,5 TAMPINES AVENUE 3 #02-07 TAMPINES WEST COMMUNITY CLUB 529705,529705.0,,,MUIS Halal Certified,,,,EERN21060012496,0.0,100.0,106.0,"muis,halaltag",571266fe-a5d4-499d-9f7c-fd6edf1a9f34,35.0
A-Po Hokkien Mee (MR1) @ The Food Market Century Square,,"2 TAMPINES CENTRAL 5 #03-19 CENTURY SQUARE, MR1 529509",529509.0,,,MUIS Halal Certified,,,,EEHN22010013112,0.0,100.0,103.0,"muis,halaltag",b7d36a1f-5610-4f93-9fe8-f83838c63d7b,1207.0
A-PO Hokkien Mee (S9)@Food Junction Lot One,,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL, Stall 9 689812",689812.0,,,MUIS Halal Certified,,,,EEHK20230000110,0.0,100.0,103.0,"muis,halaltag",5960f873-dc13-44bb-b02d-c30ea524f45b,1207.0
AH B BAKERY(S10) @ KEDAI KOPI 376 BT BATOK,,"376 BUKIT BATOK STREET 31 #01-126, STALL 10 650376",650376.0,,,MUIS Halal Certified,,,,EEHK20230001243,0.0,100.0,103.0,"muis,halaltag",e3ffd4bb-47b5-4442-a997-2a2e1943d1e9,2467.0
ANNABELLA PATISSERIE,,1 WOODLANDS SQUARE #B1-K05 CAUSEWAY POINT 738099,738099.0,,,MUIS Halal Certified,,,,EESB20240000922,0.0,100.0,108.0,"muis,halaltag",1f4ae3f6-0bc3-4e2e-8adb-af78ce644180,1592.0
