X,Y,step
39148.9,34256.48,0
39315.0,34455.0,1
38890.0,34400.0,2
38415.0,34315.0,3
38165.0,34475.0,4
38055.0,34505.0,5
37755.0,34505.0,6
37535.0,34420.0,7
37465.0,34350.0,8
37595.0,34045.0,9
37590.0,33920.0,10
37600.0,33850.0,11
37505.0,33870.0,12
37465.0,33830.0,13
37360.0,33730.0,14
37235.0,33725.0,15
37185.0,33645.0,16
37145.0,33585.0,17
37080.0,33560.0,18
36985.0,33530.0,19
36820.0,33480.0,20
36720.0,33460.0,21
36620.0,33440.0,22
36495.0,33420.0,23
36305.0,33375.0,24
36165.0,33350.0,25
35985.0,33320.0,26
35775.0,33280.0,27
35570.0,33240.0,28
35375.0,33205.0,29
35340.0,33200.0,30
35150.0,33165.0,31
35130.0,33235.0,32
35125.0,33265.0,33
35115.0,33330.0,34
35055.0,33315.0,35
34945.0,33300.0,36
34805.0,33275.0,37
34725.0,33265.0,38
34560.0,33240.0,39
34440.0,33215.0,40
34305.0,33195.0,41
34180.0,33170.0,42
34095.0,33155.0,43
33940.0,33125.0,44
33745.0,33090.0,45
33610.0,33065.0,46
33535.0,33050.0,47
33400.0,33025.0,48
33340.0,33015.0,49
33270.0,33000.0,50
33190.0,32985.0,51
33090.0,32970.0,52
32970.0,32940.0,53
32865.0,32905.0,54
32770.0,32875.0,55
32640.0,32830.0,56
32530.0,32795.0,57
32335.0,32670.0,58
31955.0,32475.0,59
31770.0,32425.0,60
31605.0,32385.0,61
31415.0,32330.0,62
31251.52,32235.06,63
