outlet_id,name,address,X,Y,distance_to_network,network_node
0,ARTEASE CAFE,1 PUNGGOL DRIVE #02-45 ONE PUNGGOL 828629,35988.7431785334,43348.1788612213,117.41568683759861,"(36020.0, 43235.0)"
1,ARTEASE CAFE,900 SOUTH WOODLANDS DRIVE #01-03 WOODLANDS CIVIC CENTRE 730900,22845.924756743,46306.879990235,76.54783067159723,"(22910.0, 46265.0)"
2,Atrium Kitchen @ Holiday Inn Singapore Atrium,317 OUTRAM ROAD #04-00 HOLIDAY INN SINGAPORE ATRIUM 169075,28098.8517283937,30143.9909522608,97.57388572087766,"(28175.0, 30205.0)"
3,Adam Chicken,503 WEST COAST DRIVE #01-28 Ayer Rajah Food Centre 120503,19812.6694068518,32678.1587596238,176.86138648878068,"(19810.0, 32855.0)"
4,Al Zamira Restaurant,724 ANG MO KIO AVENUE 6 #01-04 560724,29468.07854502,39353.3925121035,134.16068199350372,"(29345.0, 39300.0)"
5,A&W,53 ANG MO KIO AVENUE 3 #B1-47/48/ 51/51A AMK HUB 569933,29711.0075057196,39028.6385976207,116.41766210391053,"(29825.0, 39005.0)"
7,A&W,133 CANBERRA VIEW #01-04/26/27 CANBERRA PLAZA 750133,27669.1282042367,47239.9100809004,146.40547600737412,"(27690.0, 47095.0)"
9,A&W,11 BIDADARI PARK DRIVE #01-40 THE WOODLEIGH MALL 367803,32277.0183821376,35651.5520587377,139.6842039660942,"(32165.0, 35735.0)"
10,APSN Cafe for All - Centre for Adults.,11 JALAN UBI #01-51 KEMBANGAN-CHAI CHEE COMMUNITY HUB 409074,35369.4225783059,33271.612825254,56.99493781436069,"(35320.0, 33300.0)"
11,Ace Western (MR2)@Foodgle Hub ITE College West,"1 CHOA CHU KANG GROVE #03-05 ITE COLLEGE WEST, MR2 (PART OF) 688236",18995.5920269676,39696.5911910385,191.5812623563209,"(19150.0, 39810.0)"
12,ARNOLD'S,215 BEDOK NORTH STREET 1 #01-83 460215,39148.9025589321,34256.4833759218,258.83819263143585,"(39315.0, 34455.0)"
13,ARNOLD'S,810 GEYLANG ROAD #02-99/10 CITY PLAZA 409286,34694.5110424841,33008.0531160496,86.90312714982363,"(34770.0, 32965.0)"
14,ARNOLD'S,21 HOUGANG STREET 51 #01-49 HOUGANG GREEN SHOPPING MALL 538719,34066.6627102559,40135.5216910187,143.7229439340748,"(34210.0, 40125.0)"
15,ARNOLD'S,5 TAMPINES AVENUE 3 #02-07 TAMPINES WEST COMMUNITY CLUB 529705,39392.7640156746,36764.7284713108,50.86753912019205,"(39385.0, 36815.0)"
16,A-Po Hokkien Mee (MR1) @ The Food Market Century Square,"2 TAMPINES CENTRAL 5 #03-19 CENTURY SQUARE, MR1 529509",40296.7094797157,37163.8108075112,70.52177716804108,"(40350.0, 37210.0)"
17,A-PO Hokkien Mee (S9)@Food Junction Lot One,"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL, Stall 9 689812",18173.7710486762,40765.1880696882,47.15778266120906,"(18210.0, 40735.0)"
18,AH B BAKERY(S10) @ KEDAI KOPI 376 BT BATOK,"376 BUKIT BATOK STREET 31 #01-126, STALL 10 650376",18680.8479768448,37821.4757067487,132.1744742042251,"(18650.0, 37950.0)"
19,ANNABELLA PATISSERIE,1 WOODLANDS SQUARE #B1-K05 CAUSEWAY POINT 738099,22699.5234229155,46412.0238526929,64.55515536698026,"(22635.0, 46410.0)"
20,ANNABELLA PATISSERIE,1 SENGKANG SQUARE #01-22 COMPASS ONE 545078,34872.1834410084,41551.7693360616,97.7961796509418,"(34830.0, 41640.0)"
21,Apma Foods,107 LORONG 1 TOA PAYOH #01-264 TOA PAYOH NORTH 310107,29555.3157775067,35932.3164531048,45.09330618940806,"(29530.0, 35895.0)"
22,Al Madina Prata Corner,"155 BUKIT BATOK STREET 11 #01-324, Stall 12 650155",18014.7624337347,36683.5893295035,148.41663631013128,"(18155.0, 36635.0)"
23,Al Madina Famous Prata Corner,"635C SENJA ROAD #01-01,STALL 8 673635",19666.3020034339,40937.9798466433,107.22432366368592,"(19750.0, 41005.0)"
24,Al Madina Famous Prata Corner,"257 BANGKIT ROAD #01-61 BUKIT PANJANG NEW TOWN, STALL 4 670257",21310.927306273,40054.092188444,122.32442174535058,"(21235.0, 40150.0)"
25,Al Madina Famous Prata Corner,"413 BUKIT BATOK WEST AVENUE 4 #01-220, Stall 2 650413",18348.9061123934,38401.8597240616,166.86330963998395,"(18350.0, 38235.0)"
26,Al Madina Famous Prata Corner,"494 TAMPINES STREET 45 #01-06, Stall 5 523494",41621.5700003644,38325.3894792795,48.72895803942733,"(41670.0, 38320.0)"
27,Al Madina Famous Prata Corner,"167 WOODLANDS STREET 11 #01-07, Stall 2 730167",21608.4051969601,46145.1054566726,96.33463469203905,"(21625.0, 46240.0)"
28,AL MAKAN,201D TAMPINES STREET 21 #01-1155 524201,41384.4689885899,37152.143589437,110.56791381157707,"(41495.0, 37155.0)"
30,Add More Mala Hot Pot (Stall 49) @ Bukit Canberra Hawker Centre,"21 CANBERRA LINK #01-49, (Stall 49) 756973",26825.4015596965,47767.1251461413,85.96382299400337,"(26800.0, 47685.0)"
31,Auntie Anne's,53 ANG MO KIO AVENUE 3 #01-09/10 AMK HUB 569933,29711.0075057196,39028.6385976207,116.41766210391053,"(29825.0, 39005.0)"
32,Auntie Anne's,1 SENGKANG SQUARE #B1-18 COMPASS ONE 545078,34872.1834410084,41551.7693360616,97.7961796509418,"(34830.0, 41640.0)"
33,Auntie Anne's,17 PETIR ROAD #B2-31 HILLION MALL 678278,20156.924196275,40045.5291034393,106.86963818115339,"(20245.0, 39985.0)"
34,Auntie Anne's,50 JURONG GATEWAY ROAD #B1-32 JEM 608549,17988.4838308077,35058.3568146359,118.61103754960881,"(18010.0, 35175.0)"
36,Auntie Anne's,1 JURONG WEST CENTRAL 2 #01-K2 JURONG POINT 648886,13907.0305282837,35735.67771223,104.76670706956833,"(14010.0, 35755.0)"
37,Auntie Anne's,23 SERANGOON CENTRAL #03-K10 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
38,Auntie Anne's,930 YISHUN AVENUE 2 #B1-25 769098,28273.5290191257,45714.3116263431,87.31268758245913,"(28230.0, 45790.0)"
39,Auntie Anne's,80 MARINE PARADE ROAD #B1-08 PARKWAY PARADE 449269,36015.2572663743,31474.4648520965,90.0762241651229,"(36100.0, 31505.0)"
40,Auntie Anne's,"10 PAYA LEBAR ROAD #B2-K7 PAYA LEBAR QUARTER,B2-K7 409057",34688.1094547315,33331.1497676186,75.74103304155298,"(34725.0, 33265.0)"
41,Auntie Anne's,68 ORCHARD ROAD #B2-37 PLAZA SINGAPURA 238839,29307.5237809345,31463.6672937293,40.18514149855921,"(29340.0, 31440.0)"
42,Auntie Anne's,290 ORCHARD ROAD #B1-K34 THE PARAGON 238859,28213.8713075072,31784.6085016429,87.9015187382743,"(28150.0, 31845.0)"
43,Auntie Anne's,11 BIDADARI PARK DRIVE #B1-K22 THE WOODLEIGH MALL 367803,32277.0183821376,35651.5520587377,139.6842039660942,"(32165.0, 35735.0)"
44,Auntie Anne's,1 HARBOUR FRONT WALK #B2-K6 VIVO CITY 098585,26748.4993302505,27426.9234353155,202.7528877441688,"(26610.0, 27575.0)"
45,Auntie Anne's,83 PUNGGOL CENTRAL #B1-K13A WATERWAY POINT 828761,35657.8013379965,43139.2621246278,138.48360843056082,"(35525.0, 43100.0)"
46,ALL GOOD GOURMET,23 SERANGOON CENTRAL #B2-49 NEX 556083,32289.4083088608,36976.3859132938,134.39425789827513,"(32375.0, 37080.0)"
47,AL-AZHAR,11 & 12 CHEONG CHIN NAM ROAD 599736,21528.6810228564,36115.8611128815,114.51107990676967,"(21500.0, 36005.0)"
49,Amigo's,"878C TAMPINES AVENUE 8 #01-66, Stall 2 523878",38688.7606494464,37041.6473486144,97.1922707227491,"(38770.0, 37095.0)"
